CODE,NAME
S50271,"CV THEOS BUMI BALI"
S50272,"PT RAJAWALI ASIA BALI"
S50273,"PT ROSSO BIANCO (PKP PIPILTIN)"
S50274,"PT JAVAS BALI LESTARI"
S50275,"PT BESTARI JAYA (PALM LAGOON) CONSIGNMENT"
S50276,"PT CATUR SENTOSA ANUGERAH (MR.P BALI)"
S50277,"PT KAIFA INDONESIA"
S50278,"CV BEST INDONESIAN GIFT (PKP)"
S50279,"PT CLASSIC FINE FOODS INDONESIA"
S50280,"PT INDO SPIRIT PERTIWI NUSANTARA (KURA KURA BEER)"
S50281,"PT PUTRA BUANA KARYATAMA"
S50282,"PT LADANG SEHAT INDONESIA"
S50283,"PT AVATAR NUSA ANTARA (FILMORE)"
S50284,"PT GLOBAL ANUGRAH PASIFIK (PKP)"
S50285,"PT OASIS WATERS INTERNATIONAL (OASIS JKT)"
S50286,"CV BIRU LAUT ABADI (PIA AGUNG-PKP)"
S50287,"PT MAXINDO KARYA ANUGERAH PKP JAKARTA"
S50288,"HACHETTE UK DISTRIBUTION LIMITED (PROFILE)"
S50289,"GARNET CAKES"
S50290,"PT ASTHA DIAN MANUNGGAL (ICHITAN JAKARTA)"
S50291,"PT.KRISMA ABADI PERKASA (JAKARTA)"
S50292,"PT BALI KOKOA INTERNASIONAL (JAKARTA) (non active)"
S50293,"PT COMEXTRA MAJORA"
S50294,"PT GANDUM INDONESIA BERGIZI (GRANOLA)"
S50296,"CV RAMA SINTA PERMANA - NON PKP"
S50297,"PT TIRTHA DEWATA MAHA AGUNG (BALI CATERING COMPANY) NON-PKP"
S50298,"PT REGENERATIVE PROVISIONS INDONESIA (BALI FORAGES)"
S50299,"PT MEDIA INSANI ABADI (BAZAAR)"
S50300,"PT STAR MEDIA ABADI (HERWORLD)"
S50301,"MPOK MUMUN OLEH-OLEH JAKARTA (NON PKP)"
S50302,"PT GAMBINO ARTISAN PRIMA (PKP)"
S50303,"NUT NUT BALI BAKERY"
S50304,"PT SINAR MAYURI"
S50305,"PT GONUSA PRIMA DISTRIBUSI (JKT)"
S50306,"PT BUKIT OMBAK"
S50307,"PT LOHMUN INDONESIA"
S50308,"PT SVARGA PANGAN INDONESIA"
S50309,"PT INFINITI GLOBAL ASIA"
S50310,"PT SINARMAS DISTRIBUSI NUSANTARA (JTI JAKARTA)"
